,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,30,20,4,4,4,10,20,24,32,20,12,12,8,0,0,0,0,0,0,0,0,0,0,0
1,0,24,12,6,4,10,20,24,32,20,16,12,12,8,0,0,0,0,0,0,0,0,0,0
2,0,0,12,6,3,5,10,12,16,10,8,6,6,4,2,0,0,0,0,0,0,0,0,0
3,0,0,0,12,6,3,10,12,16,10,8,6,6,4,4,3,0,0,0,0,0,0,0,0
4,0,0,0,0,36,24,30,36,48,30,24,18,18,15,12,9,0,0,0,0,0,0,0,0
5,0,0,0,0,0,36,45,45,48,30,24,18,18,15,12,9,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,60,60,72,44,32,24,24,20,16,16,20,12,0,0,0,0,0,0
7,0,0,0,0,0,0,0,72,100,48,32,24,24,20,16,16,20,16,12,0,0,0,0,0
8,0,0,0,0,0,0,0,0,150,120,60,48,48,36,24,24,30,24,18,18,0,0,0,0
9,0,0,0,0,0,0,0,0,0,120,96,90,60,36,24,24,36,42,30,18,12,12,0,0
10,0,0,0,0,0,0,0,0,0,0,90,108,108,90,30,24,36,42,30,18,12,12,0,0
11,0,0,0,0,0,0,0,0,0,0,0,120,138,90,48,36,36,48,30,18,12,12,12,0
12,0,0,0,0,0,0,0,0,0,0,0,0,80,100,40,32,32,40,40,12,8,8,4,4
13,0,0,0,0,0,0,0,0,0,0,0,0,0,120,108,60,48,60,60,60,36,24,18,6
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,144,112,112,80,80,48,32,24,8
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,90,66,36,24,18,6
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,120,90,48,36,24,12
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,180,120,84,60,24,12
18,0,0,0,0,0,0,10,40,20,10,0,0,0,0,0,0,0,0,100,120,100,70,20,10
19,5,0,0,0,0,0,15,50,40,15,0,0,0,0,0,0,0,0,0,100,150,75,35,15
20,8,0,0,0,0,0,20,60,40,12,8,8,4,0,0,0,0,0,0,0,80,100,40,20
21,10,4,0,0,0,0,12,36,30,8,4,4,2,0,0,0,0,0,0,0,0,30,40,20
22,20,10,4,0,0,0,12,36,30,8,4,4,2,0,0,0,0,0,0,0,0,0,30,40
23,30,14,6,0,0,0,16,40,36,16,6,4,2,0,0,0,0,0,0,0,0,0,0,30
